source,n_eval,tp_gland,fp_gland,fn_gland,tp_nongland,fp_nongland,fn_nongland,accuracy,precision_gland,recall_gland,f1_gland,precision_nongland,recall_nongland,f1_nongland,f1_macro,n_skipped
spider_hard,2802,2626,176,0,0,0,176,0.9371877230549608,0.9371877230549608,1.0,0.9675755342667649,0.0,0.0,0.0,0.48378776713338245,0
spider_softrenorm_adeno_only,2801,2625,176,0,0,0,176,0.9371652981078187,0.9371652981078187,1.0,0.9675635827497235,0.0,0.0,0.0,0.48378179137486177,1
spider_p_high>0.30,2802,2626,176,0,0,0,176,0.9371877230549608,0.9371877230549608,1.0,0.9675755342667649,0.0,0.0,0.0,0.48378776713338245,0
spider_p_high>0.50,2802,2626,176,0,0,0,176,0.9371877230549608,0.9371877230549608,1.0,0.9675755342667649,0.0,0.0,0.0,0.48378776713338245,0
spider_p_high>0.70,2802,2626,176,0,0,0,176,0.9371877230549608,0.9371877230549608,1.0,0.9675755342667649,0.0,0.0,0.0,0.48378776713338245,0
