source,n_eval,tp_gland,fp_gland,fn_gland,tp_nongland,fp_nongland,fn_nongland,accuracy,precision_gland,recall_gland,f1_gland,precision_nongland,recall_nongland,f1_nongland,f1_macro,n_skipped
spider_scale_hard_tau0.50,143,143,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
spider_scale_softrenorm_adeno_only_tau0.50,143,143,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
spider_scale_p_high>0.05_tau0.50,143,143,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
spider_scale_p_high>0.10_tau0.50,143,143,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
spider_scale_p_high>0.20_tau0.50,143,143,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
spider_scale_p_high>0.30_tau0.50,143,143,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
spider_scale_p_high>0.50_tau0.50,143,143,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
spider_scale_hard_tau0.25,155,146,9,0,0,0,9,0.9419354838709677,0.9419354838709677,1.0,0.9700996677740864,0.0,0.0,0.0,0.4850498338870432,0
spider_scale_softrenorm_adeno_only_tau0.25,155,146,9,0,0,0,9,0.9419354838709677,0.9419354838709677,1.0,0.9700996677740864,0.0,0.0,0.0,0.4850498338870432,0
spider_scale_p_high>0.05_tau0.25,155,146,9,0,0,0,9,0.9419354838709677,0.9419354838709677,1.0,0.9700996677740864,0.0,0.0,0.0,0.4850498338870432,0
spider_scale_p_high>0.10_tau0.25,155,146,9,0,0,0,9,0.9419354838709677,0.9419354838709677,1.0,0.9700996677740864,0.0,0.0,0.0,0.4850498338870432,0
spider_scale_p_high>0.20_tau0.25,155,146,9,0,0,0,9,0.9419354838709677,0.9419354838709677,1.0,0.9700996677740864,0.0,0.0,0.0,0.4850498338870432,0
spider_scale_p_high>0.30_tau0.25,155,146,9,0,0,0,9,0.9419354838709677,0.9419354838709677,1.0,0.9700996677740864,0.0,0.0,0.0,0.4850498338870432,0
spider_scale_p_high>0.50_tau0.25,155,146,9,0,0,0,9,0.9419354838709677,0.9419354838709677,1.0,0.9700996677740864,0.0,0.0,0.0,0.4850498338870432,0
