source,n_eval,tp_gland,fp_gland,fn_gland,tp_nongland,fp_nongland,fn_nongland,accuracy,precision_gland,recall_gland,f1_gland,precision_nongland,recall_nongland,f1_nongland,f1_macro
virchow2,2802,2176,99,450,77,450,99,0.80406852248394,0.9564835164835165,0.8286367098248286,0.8879820444807183,0.1461100569259962,0.4375,0.21906116642958748,0.5535216054551528
uni2,2802,2527,146,99,30,99,146,0.9125624553890078,0.945379723157501,0.9623000761614623,0.9537648612945839,0.23255813953488372,0.17045454545454544,0.19672131147540983,0.5752430863849969
phikon-v2,2802,2525,125,101,51,101,125,0.9193433261955746,0.9528301886792453,0.9615384615384616,0.9571645185746778,0.3355263157894737,0.2897727272727273,0.31097560975609756,0.6340700641653877
ensemble_mean_prob,2802,2476,120,150,56,150,120,0.9036402569593148,0.9537750385208013,0.9428789032749428,0.948295672156262,0.27184466019417475,0.3181818181818182,0.2931937172774869,0.6207446947168744
hardvote,2802,2495,124,131,52,131,124,0.9089935760171306,0.9526536846124475,0.9501142421934501,0.9513822688274547,0.28415300546448086,0.29545454545454547,0.28969359331476324,0.620537931071109
